Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,Cover Art
5805,V for Vendetta,Alan Moore,"Moore, Alan",David   Lloyd,"=""1401207928""","=""9781401207922""",5,4.25,Vertigo,Hardcover,296,2005,1990,,2019/06/18,,,read,,,,1,0,
32497573,Everyone's a Aliebn When Ur a Aliebn Too,Jomny Sun,"Sun, Jomny",Jonny Sun,"=""""","=""""",4,4.09,Harper Perennial,ebook,256,2017,2017,2019/06/17,2019/06/16,,,read,,,,1,0,
10644930,11/22/63,Stephen King,"King, Stephen",,"=""1451627289""","=""9781451627282""",0,4.32,Scribner,Hardcover,849,2011,2011,,2019/02/19,to-read,to-read (#49),to-read,,,,0,0,
6706193,One Flew Over the Cuckoo's Nest,Ken Kesey,"Kesey, Ken",,"=""""","=""""",4,4.20,Penguin Books,Kindle Edition,316,2003,1962,2019/06/16,2019/06/02,,,read,,,,1,0,
43291839,"A Time to Kill (Jake Brigance, #1)",John Grisham,"Grisham, John",,"=""""","=""""",0,4.10,Dell,Kindle Edition,504,2010,1989,,2019/04/22,to-read,to-read (#48),to-read,,,,0,0,
43293099,The Forest of Enchantments,Chitra Banerjee Divakaruni,"Divakaruni, Chitra Banerjee",,"=""9353025982""","=""9789353025984""",0,4.15,HarperCollins India,Hardcover,372,2019,2019,,2019/06/05,to-read,to-read (#47),to-read,,,,0,0,
43615,"The Gunslinger (The Dark Tower, #1)",Stephen King,"King, Stephen",,"=""""","=""""",0,3.94,Plume,Paperback,231,2003,1982,,2019/03/20,to-read,to-read (#46),to-read,,,,0,0,
32075671,"The Hate U Give (The Hate U Give, #1)",Angie Thomas,"Thomas, Angie",,"=""""","=""""",0,4.50,Balzer + Bray,Hardcover,454,2017,2017,,2019/03/06,to-read,to-read (#45),to-read,,,,0,0,
18143977,All the Light We Cannot See,Anthony Doerr,"Doerr, Anthony",,"=""1476746583""","=""9781476746586""",0,4.32,Scribner,Hardcover,531,2014,2014,,2019/03/06,to-read,to-read (#44),to-read,,,,0,0,
4667024,The Help,Kathryn Stockett,"Stockett, Kathryn",,"=""0399155341""","=""9780399155345""",0,4.47,G.P. Putnam's Sons,Hardcover,464,2009,2009,,2019/03/06,to-read,to-read (#43),to-read,,,,0,0,
21853621,The Nightingale,Kristin Hannah,"Hannah, Kristin",,"=""0312577222""","=""9780312577223""",0,4.59,St. Martin's Press,Hardcover,440,2015,2015,,2019/03/06,to-read,to-read (#42),to-read,,,,0,0,
